id,ingredient
1,?duja Salami
2,Alfredo Sauce
3,Anchovies
4,Artichoke
5,Artichokes
6,Arugula
7,Asiago Cheese
8,Bacon
9,Barbecue Sauce
10,Barbecued Chicken
11,Beef Chuck Roast
12,Blue Cheese
13,Brie Carre Cheese
14,Calabrese Salami
15,Capocollo
16,Caramelized Onions
17,Chicken
18,Chipotle Sauce
19,Chorizo Sausage
20,Cilantro
21,Coarse Sicilian Salami
22,Corn
23,Eggplant
24,Feta Cheese
25,Fontina Cheese
26,Friggitello Peppers
27,Garlic
28,Genoa Salami
29,Goat Cheese
30,Gorgonzola Piccante Cheese
31,Gouda Cheese
32,Green Olives
33,Green Peppers
34,Italian Sausage
35,Jalapeno Peppers
36,Kalamata Olives
37,Luganega Sausage
38,Mozzarella Cheese
39,Mushrooms
40,Onions
41,Oregano
42,Pancetta
43,Parmigiano Reggiano Cheese
44,Pears
45,Peperoncini verdi
46,Pepperoni
47,Pesto Sauce
48,Pineapple
49,Plum Tomatoes
50,Prosciutto
51,Prosciutto di San Daniele
52,Provolone Cheese
53,Red Onions
54,Red Peppers
55,Ricotta Cheese
56,Romano Cheese
57,Sliced Ham
58,Smoked Gouda Cheese
59,Soppressata Salami
60,Spinach
61,Sun-dried Tomatoes
62,Thai Sweet Chilli Sauce
63,Thyme
64,Tomatoes
65,Zucchini
